자치구 기준일,용산구 전체,용산구 추가,년,월
2020.12.31.00,416.0,1.0,2020,12
2020.12.30.00,415.0,9.0,2020,12
2020.12.29.00,406.0,2.0,2020,12
2020.12.28.00,404.0,6.0,2020,12
2020.12.27.00,398.0,5.0,2020,12
2020.12.26.00,393.0,8.0,2020,12
2020.12.25.00,385.0,14.0,2020,12
2020.12.24.00,371.0,9.0,2020,12
2020.12.23.00,362.0,6.0,2020,12
2020.12.22.00,356.0,9.0,2020,12
2020.12.21.00,347.0,8.0,2020,12
2020.12.20.00,339.0,3.0,2020,12
2020.12.19.00,336.0,7.0,2020,12
2020.12.18.00,329.0,1.0,2020,12
2020.12.17.00,328.0,10.0,2020,12
2020.12.16.00,318.0,4.0,2020,12
2020.12.15.00,314.0,2.0,2020,12
2020.12.14.00,312.0,4.0,2020,12
2020.12.13.00,308.0,10.0,2020,12
2020.12.12.00,298.0,2.0,2020,12
2020.12.11.00,296.0,8.0,2020,12
2020.12.10.00,288.0,6.0,2020,12
2020.12.09.00,282.0,5.0,2020,12
2020.12.08.00,277.0,7.0,2020,12
2020.12.07.00,270.0,8.0,2020,12
2020.12.06.00,262.0,7.0,2020,12
2020.12.05.00,255.0,8.0,2020,12
2020.12.04.00,247.0,4.0,2020,12
2020.12.03.00,243.0,8.0,2020,12
2020.12.02.00,235.0,8.0,2020,12
2020.12.01.00,227.0,3.0,2020,12
2020.11.30.00,224.0,4.0,2020,11
2020.11.29.00,220.0,2.0,2020,11
2020.11.28.00,218.0,7.0,2020,11
2020.11.27.00,211.0,6.0,2020,11
2020.11.26.00,205.0,4.0,2020,11
2020.11.25.00,201.0,7.0,2020,11
2020.11.24.00,194.0,10.0,2020,11
2020.11.23.00,184.0,2.0,2020,11
2020.11.22.00,182.0,1.0,2020,11
2020.11.21.00,181.0,4.0,2020,11
2020.11.20.00,177.0,6.0,2020,11
2020.11.19.00,171.0,1.0,2020,11
2020.11.18.00,170.0,1.0,2020,11
2020.11.17.00,169.0,0.0,2020,11
2020.11.16.00,169.0,0.0,2020,11
2020.11.15.00,169.0,1.0,2020,11
2020.11.14.00,168.0,3.0,2020,11
2020.11.13.00,165.0,1.0,2020,11
2020.11.12.00,164.0,4.0,2020,11
2020.11.11.00,160.0,2.0,2020,11
2020.11.10.00,158.0,0.0,2020,11
2020.11.09.00,158.0,7.0,2020,11
2020.11.08.00,151.0,1.0,2020,11
