기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수,Unnamed: 0,TRDAR_SE_C,TRDAR_SE_1,TRDAR_CD,TRDAR_CD_N,XCNTS_VALU,YDNTS_VALU,SIGNGU_CD,ADSTRD_CD,STDR_YM_CD,통계청행정동코드,행정동코드,시도명,시군구명,행정동명
2019,1,A,골목상권,1000079,한강대로43길,CS200005,스포츠 강습,63970781,162,98,2,8,18,42,29,0,2,0,0,0,20,36,43,2,50,50,0,15,44,7,34,0,63025356,945425,2859909,7082807,27729501,25353139,0,945425,0,0,0,13251702,9876731,25242840,15599508,20449731,43521050,0,5428314,26476813,3986541,28079113,0,154,8,8,32,51,63,0,8,0,0,0,48,28,78,8,67,95,0,32,58,16,56,0,6,804.0,A,골목상권,1000079.0,한강대로43길,197274.0,448011.0,11170.0,11170625.0,201810.0,1103073.0,11170625.0,서울,용산구,한강로동
2019,1,R,전통시장,1001290,이촌종합시장,CS300007,육류판매,673701877,14779,73,27,16,15,14,14,15,17,10,0,7,23,34,35,1,34,66,0,1,13,31,29,26,495740447,177961430,140276923,86736989,74981856,75139779,118604900,104048442,73912988,0,73884788,204345712,205133416,183521837,6816124,237190608,417946604,351822,5288043,52985139,153094309,175419258,267998642,10821,3958,2334,2154,2084,1990,2259,2444,1514,0,1074,3404,4993,5227,81,4983,9622,15,158,1924,4468,4260,3781,6,1409.0,R,전통시장,1001290.0,이촌종합시장,197769.0,446791.0,11170.0,11170630.0,201810.0,1103063.0,11170630.0,서울,용산구,이촌1동
2019,1,D,발달상권,1001143,서울 용산구 신용산역,CS100010,커피-음료,1126912742,126436,79,21,13,14,17,18,17,11,11,0,15,37,19,23,5,49,51,0,28,32,23,12,6,827405676,299507066,125967384,149871481,176367641,179467048,195732122,153841306,145665760,2268835,141895071,375507992,282562557,289047565,35630722,375670750,645112670,1102609,250520191,403442007,198077873,114570972,53069764,95731,30705,15522,17545,19922,20863,21879,15683,15022,35,26063,38350,28899,30588,2501,43270,75778,158,32260,47634,22046,11481,5472,15,1013.0,D,발달상권,1001143.0,서울 용산구 신용산역,197315.0,447811.0,11170.0,11170625.0,201810.0,1103073.0,11170625.0,서울,용산구,한강로동
2019,1,D,발달상권,1001143,서울 용산구 신용산역,CS200034,여관,174403816,4004,60,40,9,11,16,13,11,20,20,33,4,5,10,24,25,82,18,1,49,25,16,7,2,106307947,68095869,13866075,23603915,24773983,24104526,19959448,37024681,31071188,64466979,7323534,6003653,10342295,34312797,51954558,136602051,26752325,1656253,71228472,46425834,30911859,10974163,2157790,2394,1610,334,492,578,533,457,796,814,1166,155,184,452,1027,1020,3142,651,21,1888,1030,581,222,57,6,1013.0,D,발달상권,1001143.0,서울 용산구 신용산역,197315.0,447811.0,11170.0,11170625.0,201810.0,1103073.0,11170625.0,서울,용산구,한강로동
2019,1,A,골목상권,1000085,회나무로13길,CS200006,일반의원,341005132,16980,86,14,17,13,19,24,14,14,0,0,20,29,28,24,0,35,65,1,19,25,13,22,21,293992394,47012738,55432348,42900291,56616234,101431773,37611748,47012738,0,0,43266362,123461399,87851354,86426017,0,84343048,256662084,366070,77846215,40317482,65762361,92704253,64008751,14721,2259,2805,2102,3427,4050,2337,2259,0,0,3427,4751,4830,3972,0,5950,11030,78,3046,4221,2192,3763,3680,3,861.0,A,골목상권,1000085.0,회나무로13길,199187.0,449028.0,11170.0,11170660.0,201810.0,1103066.0,11170660.0,서울,용산구,이태원2동
2019,1,R,전통시장,1001288,만리시장,CS100008,분식전문점,43060111,4060,78,22,14,14,16,17,17,12,10,2,5,28,25,32,9,50,50,3,24,22,20,24,7,33434031,9626080,6128285,6041197,7476579,6885723,6902247,5246691,4379389,1625634,1061575,7729803,7695414,16441686,8505999,22444683,20615428,932299,5862579,7131832,10665048,13800285,4668068,3167,893,577,567,666,683,674,487,406,71,202,1121,1018,1291,357,2035,2025,118,984,894,790,971,303,6,1407.0,R,전통시장,1001288.0,만리시장,196790.0,450197.0,11170.0,11170555.0,201810.0,1103071.0,11170555.0,서울,용산구,청파동
2019,1,A,골목상권,1000087,후암로28길,CS200031,세탁소,32036855,1319,69,31,14,12,17,12,15,31,0,0,9,15,16,44,16,41,59,0,11,30,28,26,6,21951178,10085677,3586215,2541342,5799928,5782218,4241475,10085677,0,0,5428024,4560249,4055522,13583344,4409716,13437627,18599228,0,2486521,9284168,9250022,10200014,816130,911,408,177,168,221,159,186,408,0,0,115,194,213,593,204,544,775,0,143,401,365,331,79,2,832.0,A,골목상권,1000087.0,후암로28길,198209.0,449963.0,11170.0,11170510.0,201810.0,1103051.0,11170510.0,서울,용산구,후암동
2019,1,A,골목상권,1000077,한강대로104길,CS300021,문구,17200491,1580,81,19,19,18,13,15,16,15,4,0,8,27,26,36,3,38,63,1,18,29,34,11,8,14078560,3121931,3612929,2821604,2310147,1891162,3442718,2498363,623568,0,1164484,5487725,3830606,6545008,172668,4226677,9263502,24550,1491817,3608838,5497544,1875614,991817,1245,335,288,278,205,220,254,262,73,0,106,409,401,615,49,507,892,8,245,401,475,156,114,3,169.0,A,골목상권,1000077.0,한강대로104길,197724.0,450094.0,11170.0,11170530.0,201810.0,1103053.0,11170530.0,서울,용산구,남영동
2019,1,A,골목상권,1000058,백범로90길,CS200029,네일숍,2920686,58,84,16,19,18,8,23,16,16,0,0,0,8,43,49,0,18,82,0,0,26,58,8,8,2063237,857449,273312,509110,535906,144695,600214,857449,0,0,0,535906,1409432,975348,0,509110,2411576,0,0,1286173,1361201,192926,80386,48,10,12,10,5,11,10,10,0,0,0,5,27,26,0,10,48,0,0,15,33,5,5,1,1243.0,A,골목상권,1000058.0,백범로90길,197278.0,448613.0,11170.0,11170560.0,201810.0,1103072.0,11170560.0,서울,용산구,원효로1동
2019,1,U,관광특구,1001491,이태원 관광특구,CS200024,스포츠클럽,394722099,3537,76,24,15,9,26,13,14,17,7,0,8,18,27,39,7,68,32,0,24,52,13,11,1,288352956,106369143,50070923,38297772,50257200,110220502,39506559,63199611,43169532,0,58372811,72016374,140488862,117900296,5943756,221919351,170255424,0,44538946,145221116,100229755,84421278,17763679,2317,1220,407,276,488,704,442,709,511,0,461,811,1082,1136,47,1661,1856,0,469,1587,781,622,58,3,67.0,U,관광특구,1001491.0,이태원 관광특구,199503.0,448326.0,11170.0,11170650.0,201810.0,1103065.0,11170650.0,서울,용산구,이태원1동
