,서비스_업종,분기,상권,2018_분기당_매출_금액,2019_분기당_매출_금액,2020_분기당_매출_금액,2018~2019_증감액,2019~2020_증감액,2018~2019_증감율,2019~2020_증감율
0,가구,1,관광특구,164612528,83818931,65358805,-80793597,-18460126,-49.08107419,-22.02381464
1,가구,2,관광특구,91182170,31849831,91867272,-59332339,60017441,-65.07011075,188.4388052
2,가구,3,관광특구,72585550,108941425,101055416,36355875,-7886009,50.0869319,-7.238760646
3,가구,4,관광특구,110123421,25730309,64112350,-84393112,38382041,-76.63502571,149.1705405
4,가방,1,골목상권,101631313,87329154,48476233,-14302159,-38852921,-14.07259099,-44.49020656
5,가방,1,관광특구,1534776917,1032502556,994689476,-502274361,-37813080,-32.72621287,-3.662274711
6,가방,1,발달상권,944736266,530455312,492301984,-414280954,-38153328,-43.85149262,-7.192562151
7,가방,1,전통시장,94218755,256591807,336922508,162373052,80330701,172.3362318,31.30680669
8,가방,2,골목상권,166685996,61187108,36356005,-105498888,-24831103,-63.29199245,-40.58224651
9,가방,2,관광특구,1999698388,1337531572,639977217,-662166816,-697554355,-33.11333449,-52.15236557
10,가방,2,발달상권,1076029368,954221391,273202287,-121807977,-681019104,-11.32013499,-71.36908797
11,가방,2,전통시장,169200176,145631787,261769249,-23568389,116137462,-13.92929343,79.74733016
12,가방,3,골목상권,210546703,23508931,30277201,-187037772,6768270,-88.83433905,28.79020743
13,가방,3,관광특구,1952615231,1162576101,747432010,-790039130,-415144091,-40.46056373,-35.70898203
14,가방,3,발달상권,1005050092,963332122,294614417,-41717970,-668717705,-4.150834902,-69.41715009
15,가방,3,전통시장,84821234,64290473,242495064,-20530761,178204591,-24.20474218,277.186623
16,가방,4,골목상권,150200188,202157548,90350875,51957360,-111806673,34.59207388,-55.30670218
17,가방,4,관광특구,1767874370,1706594402,1105657888,-61279968,-600936514,-3.466307846,-35.21261486
18,가방,4,발달상권,818648716,1003498250,370997473,184849534,-632500777,22.57983557,-63.02958446
19,가방,4,전통시장,246357092,270584896,513287266,24227804,242702370,9.834425225,89.69546105
20,가전제품수리,1,관광특구,31763917,3970490,31726358,-27793427,27755868,-87.49999882,699.0539707
21,가전제품수리,2,관광특구,15976354,23715627,21086520,7739273,-2629107,48.44204754,-11.08596876
22,가전제품수리,3,관광특구,10646265,23179074,26092556,12532809,2913482,117.7202427,12.5694495
23,골프연습장,1,관광특구,50124280,41893442,47628666,-8230838,5735224,-16.42086031,13.69002814
24,골프연습장,2,관광특구,41386064,35989925,38948620,-5396139,2958695,-13.03854119,8.220897932
25,골프연습장,3,관광특구,49130812,42103356,30129819,-7027456,-11973537,-14.30356168,-28.43843849
26,골프연습장,4,관광특구,46861199,51038556,27201301,4177357,-23837255,8.914319499,-46.70440715
27,네일숍,1,관광특구,143625050,103188329,9368303,-40436721,-93820026,-28.15436513,-90.92116028
